1,Marina,Suntec City,30655.605777923392,30681.906932174523
2,Marina,Marina Square,30666.73761945948,30394.412425864924
4,Marina,The Esplanade,30480.881946437836,30279.412895118978
5,Marina,Millenia Singapore,30979.46494625556,30544.797342983657
6,Marina,Singapore Flyer,31315.56886012902,30205.336280083226
16,Harbfront,VivoCity P3,26810.477558525614,27415.51646731273
17,Harbfront,Sentosa,27770.931258768836,25863.043766807845
19,Harbfront,Harbourfront Centre,26530.020290497254,27421.046500226512
50,Harbfront,VivoCity P2,26700.29793165578,27421.04568333977
20,Orchard,Far East Plaza,28030.243714582033,32158.068680567485
13,Orchard,Ngee Ann City,28176.034881860134,31633.943937201944
12,Orchard,Mandarin Hotel,28299.56783385312,31611.82907129986
21,Orchard,Centrepoint,28715.79597821659,31594.13784597323
24,Orchard,313@Somerset,28601.166580940855,31465.87075274608
7,Orchard,Orchard Point,28811.506396648067,31522.264453554817
22,Orchard,Concorde Hotel,28956.184941938118,31439.333771071808
9,Orchard,Plaza Singapura,29303.412658491365,31486.882351122797
10,Orchard,The Cathay,29591.657273922672,31317.704313080474
23,Orchard,ION Orchard,27859.96874385438,31818.603918558732
14,Orchard,Wisma Atria,27994.630675224555,31777.691188063727
8,Orchard,The Heeren,28453.149255407006,31654.95346777545
26,Harbfront,Resorts World Sentosa,26531.128958806356,26581.783640634403
27,Orchard,Orchard Central,28720.2479781895,31452.602050316604
29,Marina,Marina Bay Sands,30780.295197305517,29410.32891696639
43,JurongLakeDistrict,Westgate,17928.49051946065,35165.89030048676
51,Orchard,Holiday Inn,28869.3729413864,31625.107094651547
53,JurongLakeDistrict,IMM Building,18373.094766073944,35226.358834057246
54,JurongLakeDistrict,JCube,17624.443461371717,35067.48988174143
55,Orchard,Paragon,28281.76110303902,31793.17180706107
56,Marina,National Gallery,30042.39343359908,30297.101371190773
